school,type,ba_status,ba_url,ba_title,ba_note,lang_status,lang_url,lang_title,lang_note,ma_status,ma_url,ma_title,ma_note,lang_src,ma_src,ba_src
가야대학교,univ,2027_adiga,adiga_2027 (downloaded),,,?,,,,2026_or_older,https://ipsi.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000300,2026학년도 후기 대학원 신입생 모집요강,대학원 입학 공지 게시판에 2026학년도 전기(2025.11.14) 및 후기(2026.06.01) 모집요강 게시. 외국인 특별 전형은 별도 안내 없으며 일반 모집요강에 포함. 2027학년도 자료 미발견.,,https://drive.google.com/file/d/1o3xlX6I5fsRtYKLo3mUZV4N-t-Sy_bw9/view,https://drive.google.com/file/d/1bJtNj136i69JMOH0QqYm94dwCrhix1RU/view
가천대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,한국어교육센터 모집요강/공지사항 최신은 2026학년도 겨울학기 입학 신청 안내(2026-08-18). 2027 없음.,2026_or_older,https://www.gachon.ac.kr/bbs/forvd/881/118972/artclView.do,2026학년도 후기 일반대학원 외국인 특별전형 모집 일정 안내,2026학년도 전기(2025.09.25) 및 후기(2026.04.02) 일반대학원 외국인 특별전형 모집 일정 확인. 2027학년도 자료 미발견 (통상 9~11월 발표 예상).,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,https://drive.google.com/file/d/18lDTjpwlTbGss31jy60Qe9pA4zRnyO4q/view,https://drive.google.com/file/d/1oJYmzI7N61370oYkuCkeq3tA4gmmkXIF/view
가톨릭관동대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,Notice 게시판에 2026학년도 한국어교육원 모집요강(2026-04-07). Admission Guide 페이지는 연도 없는 절차 안내. 2027 없음.,?,,,,http://www.cku.ac.kr/oia/5520/subview.do,,https://drive.google.com/file/d/1wWQ9No5gdtdx1oaod_PoL2vMx7pRxxq_/view
가톨릭꽃동네대학교,univ,2027_own,https://www.kkot.ac.kr/ipsi/board/read?boardManagementNo=1143&boardNo=26172&searchCategory=&page=1&searchType=&searchWord=&menuLevel=&menuNo=,2027학년도 재외국민과 외국인 특별전형 모집요강 안내,"공식 입학안내 게시판(입시안내)에 '2027학년도 재외국민과 외국인 특별전형 모집요강' 게시 (2026.05.31, 게시판 boardNo=26172). 원서접수 2026.9.7~9.11로 2027학년도(2027학년 3월 입학) 전형을 명시. 재외국민+외국인 합본 요강.",?,,,,?,,,,,,https://drive.google.com/file/d/1bVoFUN13nYpc2U71C97vuiKIONWbKym8/view
가톨릭대학교,univ,2027_own,https://ipsi.catholic.ac.kr/main.do,2027학년도 재외국민과 외국인 특별전형 모집요강 (입학처 공지),"입학처 CUK NOTICE '재외국민/외국인' 카테고리에 '2027학년도 재외국민과 외국인 특별전형 모집요강'(2026-05-29) 및 '2027학년도 재외국민과 외국인특별전형 원서접수 안내'(2026-07-07) 공지 확인. 단, 국제교류처(OIA)의 '부모 모두 외국인' 순수외국인 입학안내는 아직 2026(9월/3월)까지만 게시. 모집요강 상세 페이지는 팝업(javascript) 방식이라 직링크는 입학처 메인으로 기재.",2026_or_older,,,홈 배너 '2026학년도 한국어 정규과정 모집'(겨울학기 2026.12~2027.2이지만 2026학년도 표기). 모집요강 PDF도 2026학년도. 공지 최신 2026-08. 2027 없음.,2026_or_older,https://oia.catholic.ac.kr/oia/admission/undergraduate.do,2026학년도 후기 일반대학원 외국인전형 모집요강,"국제교류처(OIA) 페이지에 2026학년도 후기 일반대학원 외국인전형(석사·박사·통합, 석사1년) 모집요강 게시. 일반대학원 모집요강 게시판 최신글 2026.03.25. 2027학년도 미발견.",https://kli.catholic.ac.kr/kli/index.do,https://drive.google.com/file/d/1eXbVvIF37IAZ9uMImec1WdMOL1-Ul9j9/view,https://drive.google.com/file/d/1wNehCMj3KksA5KkB8gTtkQEmXRrr-EM8/view
감리교신학대학교,univ,2027_adiga,adiga_2027 (downloaded),,,?,,,,?,,,,,,https://drive.google.com/file/d/1LmR8Ee0HG6cW2Fw1JhoiV7KHbCPlSMXy/view
강남대학교,univ,2027_own,https://admission.kangnam.ac.kr/jeonhyung/yogang.htm?ctg_cd=overseas,2027학년도 재외국민과 외국인 특별전형 모집요강,입학처 '재외국민·외국인' 페이지에 2027학년도 재외국민과 외국인 특별전형 모집요강 PDF(파일링크 fileview.php?bbsid=paper&file_seq=4163) 게시 확인. 참고: 입학처의 별도 '외국인' 카테고리(ctg_cd=foreign)는 타교 사이트로 리다이렉트되는 오류가 있어 확인 불가 — 재외국민·외국인 합본이 실질적 가이드.,?,,,,?,,,,,,https://drive.google.com/file/d/1V9r0urc2KH_gUL71xu3iGhQhMz-D4HA1/view
강서대학교,univ,2027_adiga,adiga_2027 (downloaded),,,?,,,,unknown_year,https://graduate.gangseo.ac.kr/kcug/homeService?menuCode=MC0205,정원 외 입학(외국인) - 일반대학원 외국인 전형 안내,대학원 홈페이지 외국인 전용 페이지(MC0205)에 전형일정이 2023년 기준으로 기재되어 있어 갱신 상태 불명확. 일반대학원 공지사항에는 2026학년도 후기 2차 모집 안내(2026.06.16) 존재하나 외국인 특별전형 업데이트 여부 미확인. 2027학년도 자료 미발견.,,https://drive.google.com/file/d/1qYwwL_LBjib0wDgojaCRdvcoRsBhd_9J/view,https://drive.google.com/file/d/1QBZUmstn6xsWszulW5la7w2U0n9WvhoV/view
강원대학교,univ,2026_or_older,,,"국제교류처 공지 게시판에서 외국인 입학전형 안내는 2026학년도 전기(봄)/후기(가을)까지만 확인됨(2026학년도 후기 외국인 학부 입학전형 모집안내, 2026.02.25). 2027 외국인 모집요강은 미게시. 입학안내에는 2027학년도 수시모집요강(일반전형, 춘천·삼척/강릉·원주)만 게시되어 있으며 외국인 특화 가이드 아님.",unknown_year,,,"Admission Guide 페이지는 절차/제출서류만, 연도 표기 없음. 모집요강 PDF/공지 게시판에도 연도 없는 콘텐츠. 2027 여부 확인 불가.",2026_or_older,https://cms.kangwon.ac.kr/oiaknu/notice.do?mode=view&articleNo=551119,2026학년도 후기 외국인 대학원 입학전형 모집 안내,국제교류처(OIA)에 2026학년도 전기(2025.10) 및 후기(2026.02.25) 외국인 대학원 입학전형 모집 안내 게시. 2027학년도 전기 모집요강은 통상 10~11월 발표 예상.,https://oiaknu.kangwon.ac.kr/oiaknu/language/korean/guide-chuncheon01.do,https://drive.google.com/file/d/1Lpkv3ZOKItjRppi6DintV_O1H4XnYKl1/view,https://drive.google.com/file/d/1KuCiv2Zqql6KULMcAQ93daAesG5EeYmD/view
건국대학교,univ,2027_own,https://admission.konkuk.ac.kr/admission/37899/subview.do,2027학년도 재외국민과외국인전형 모집요강,"입학처 모집요강 목록에 '2027학년도 재외국민과외국인전형 모집요강'(재외국민 카테고리) 게시 확인. 국제처 외국인학생센터(CISS) Admission Guidelines 페이지(ciss.konkuk.ac.kr/ciss/18303, www.konkuk.ac.kr/ciss/18306)도 운영 중.",unknown_year,,,"사이트 부실: 학사일정이 2023/2024년까지만 게재, 한국어 공지사항도 2023-2024가 최신. 2025/2026/2027 어디에도 없음.",2026_or_older,https://www.konkuk.ac.kr/bbs/ciss/1483/1169869/artclView.do,[입학] 2026학년도 후기 대학원 외국인전형(신입학) 모집요강(국문) 안내,국제처(외국인학생센터) 게시판에 2026학년도 전기(2025.08.22) 및 후기(2026.03.13) 대학원 외국인전형 모집요강 게시 확인. 2027학년도 전기는 통상 8~9월 발표 예상.,https://fli.konkuk.ac.kr/ko/regular/,https://drive.google.com/file/d/1JhTGgC5caOZTLo2ku8Ict8yNcoKRcgAH/view,https://drive.google.com/file/d/17lkDOEbhw_uJJ1_-l1asy2LLzFYRmRGQ/view
