school,type,BA,BA_url,MA,MA_url,lang,lang_url
가야대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://ipsi.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000300,not_found,
가천대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://www.gachon.ac.kr/bbs/kor/740/120007/artclView.do,2026_or_older,https://oia.gachon.ac.kr/international/a/m/klecInfo.do
가톨릭관동대학교,univ,2027_adiga,adiga_2027 (downloaded),not_found,https://www.cku.ac.kr/bbs/cku/414/92249/artclView.do,2026_or_older,http://www.cku.ac.kr/oia/5520/subview.do
가톨릭꽃동네대학교,univ,2027_own,https://www.kkot.ac.kr/ipsi/board/read?boardManagementNo=1143&boardNo=26172&searchCategory=&page=1&searchType=&searchWord=&menuLevel=&menuNo=,not_found,,not_found,
가톨릭대학교,univ,2027_own,https://ipsi.catholic.ac.kr/main.do,2026_or_older,https://gs.catholic.ac.kr/gs/admission/recruitment.do,2026_or_older,https://kli.catholic.ac.kr/kli/index.do
감리교신학대학교,univ,2027_adiga,adiga_2027 (downloaded),not_found,,not_found,
강남대학교,univ,2027_own,https://admission.kangnam.ac.kr/jeonhyung/yogang.htm?ctg_cd=overseas,2026_or_older,https://grd.kangnam.ac.kr/menu/board/info/adbd6cb9e1169e9579b9a8e266cd2bbc.do,not_found,
강서대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://graduate.gangseo.ac.kr/kcug/homeService?menuCode=MC0204,not_found,
강원대학교,univ,2026_or_older,https://oiaknu.kangwon.ac.kr/oiaknu/admission/,2026_or_older,https://cms.kangwon.ac.kr/adgraduate/admission/notice.do?mode=view&articleNo=567148,unknown_year,https://oiaknu.kangwon.ac.kr/oiaknu/language/korean/guide-chuncheon01.do
건국대학교,univ,2027_own,https://admission.konkuk.ac.kr/admission/37899/subview.do,2026_or_older,https://www.konkuk.ac.kr/bbs/konkuk/237/1169866/artclView.do?layout,unknown_year,https://fli.konkuk.ac.kr/ko/regular/
건양대학교,univ,2027_adiga,adiga_2027 (downloaded),not_found,https://ipsi.konyang.ac.kr/prog/info/ipsi/sub03_01/foreigner/list.do,2026_or_older,https://interedu.konyang.ac.kr/interedu/sub05_03.do
경기대학교,univ,2027_own,https://enter.kyonggi.ac.kr/cms/FR_BBS_CON/BoardView.do?MENU_ID=280&CONTENTS_NO=3&SITE_NO=2&BOARD_SEQ=3&BBS_SEQ=4056,not_found,https://grad.kyonggi.ac.kr,2026_or_older,https://www.kyonggi.ac.kr/IOIE/contents.do?key=1494
경남대학교,univ,2027_adiga,adiga_2027 (downloaded),not_found,https://www.kyungnam.ac.kr/grad/966/subview.do,2026_or_older,https://www.kyungnam.ac.kr/international/6904/subview.do
경동대학교,univ,2027_adiga,adiga_2027 (downloaded),not_found,https://www.kduniv.ac.kr/iphak/CMS/Contents/Contents.do?mCode=MN040,not_found,
경북대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://home.knu.ac.kr/HOME/graden,2026_or_older,https://lang.knu.ac.kr/hmpg/cms/subPage/MNU0080133.knu
경상국립대학교,univ,2027_own,https://www.gnu.ac.kr/new/cm/cntnts/cntntsView.do?mi=4969&cntntsId=2840,2026_or_older,https://www.gnu.ac.kr/graduate/main.do,2026_or_older,https://www.gnu.ac.kr/sle/cm/cntnts/cntntsView.do?mi=7764&cntntsId=4134
경성대학교,univ,2026_or_older,https://kscms.ks.ac.kr/ia/CMS/Contents/Contents.do?mCode=MN056,2026_or_older,https://kscms.ks.ac.kr/eng/CMS/Contents/Contents.do?mCode=MN066,unknown_year,https://kscms.ks.ac.kr/lec/CMS/Contents/Contents.do?mCode=MN070
경운대학교,univ,2026_or_older,https://www.ikw.ac.kr/ipsi/page/2441/4018.tc,not_found,https://www.ikw.ac.kr/page/5411/4371.tc,unknown_year,https://www.ikw.ac.kr/worldle/page/link.tc?mn=5711&pageSeq=4630
경일대학교,univ,2026_or_older,https://ibsi.kiu.ac.kr/admission/sub.htm?nav_code=ips1556602088,not_found,https://grad.kiu.ac.kr/,2026_or_older,https://www.kiu.ac.kr/HOME/exchange/sub.htm?nav_code=exc1573726652
경희대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://iadmission.khu.ac.kr/gglobalcenter/user/contents/view.do?menuNo=8000048,2027_guide,https://iie.khu.ac.kr/bbs/content.php?co_id=OnCampus
계명대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://gs.kmu.ac.kr/gs/8393/subview.do,2026_or_older,https://kintlcenter.kmu.ac.kr/sites/kintlcenter/index.do
고려대학교,univ,2027_adiga,adiga_2027 (downloaded),2027_guide,https://graduate.korea.ac.kr/matriculate/schedule.html,2026_or_older,https://klc.korea.ac.kr/
고신대학교,univ,2027_adiga,adiga_2027 (downloaded),not_found,https://www.kosin.ac.kr/dream/index.php?pCode=MN7000055&mode=view&idx=2786,2026_or_older,http://global.kosin.ac.kr/korean/
광신대학교,univ,2026_or_older,https://www.kwangshin.ac.kr/ipsi/index.do?menu_no=436,not_found,http://www.kwangshin.ac.kr/,not_found,
광운대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://oia.kw.ac.kr/admission/graduate.php,2027_guide,https://kwiie.kw.ac.kr/regular/schedule.php
광주대학교,univ,2026_or_older,https://ie.gwangju.ac.kr/page/?site=gw_ie&mn=1421,2026_or_older,https://grad.gwangju.ac.kr/page/?site=grad&mn=1448,not_found,https://ie.gwangju.ac.kr/
광주여자대학교,univ,unknown_year,https://globalgate.kwu.ac.kr/mod/page/view.do?MID=GLOBALGATE_C05040101,unknown_year,https://graduate.kwu.ac.kr/,not_found,https://globalgate.kwu.ac.kr/
국립강릉원주대학교,univ,2026_or_older,https://global.kangwon.ac.kr/global/bbs/1423/detail.do?pstSn=1,2026_or_older,https://gradgn.kangwon.ac.kr/sites/grad/index.do,2026_or_older,https://kls.gwnu.ac.kr/application/
국립경국대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://graduation.gknu.ac.kr/,not_found,https://ic.gknu.ac.kr/bbs/korean.php
국립공주대학교,univ,2027_own,https://ipsi.kongju.ac.kr/kor/article/ATCL7a488cf94/16001,2026_or_older,https://oia.kongju.ac.kr/admboard/4166,not_found,https://iile.kongju.ac.kr/
국립군산대학교,univ,2026_or_older,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303001000000,2026_or_older,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303002000000,not_found,https://www.kunsan.ac.kr/inter/
국립금오공과대학교,univ,2027_own,https://mobility.kumoh.ac.kr/ipsi/sub0502.do,2026_or_older,https://www.kumoh.ac.kr/cam/sub030103.do,2026_or_older,https://iplec.kumoh.ac.kr/iplec/sub06010102.do
국립목포대학교,univ,2026_or_older,https://oia.mokpo.ac.kr/bbs/iiee/338/278607/artclView.do,2026_or_older,https://oia.mokpo.ac.kr/bbs/iiee/338/278608/artclView.do,2026_or_older,https://oia.mokpo.ac.kr/bbs/iiee/155/280933/artclView.do
국립목포해양대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://www.mmu.ac.kr/OA/board/136/1/read/88085,2026_or_older,https://www.mmu.ac.kr/OE/board/185
국립부경대학교,univ,2027_own,http://admission.pknu.ac.kr/,2027_guide,http://admission.pknu.ac.kr/,2026_or_older,http://admission.pknu.ac.kr/
국립순천대학교,univ,2027_own,https://ama.scnu.ac.kr/iphak/na/ntt/selectNttList.do?bbsId=2487,2026_or_older,https://www.scnu.ac.kr/ials/na/ntt/selectNttList.do?mi=2045&bbsId=1411,2026_or_older,https://www.scnu.ac.kr/ials/main.do
국립창원대학교,univ,2027_adiga,adiga_2027 (downloaded),2026_or_older,https://app.changwon.ac.kr/board/detail.do?midx=8&bno=2932&cateno=&postno=1349442&pageIndex=1,2026_or_older,https://www.changwon.ac.kr/international/cm/cntnts/cntntsView.do?mi=18689&cntntsId=6832
국립한국교통대학교,univ,2027_own,https://www.ut.ac.kr/cop/bbs/BBSMSTR_000000000661/selectBoardArticle.do?nttId=1122317,unknown_year,https://www.ut.ac.kr/dhw/sub03_02_01.do,unknown_year,https://www.ut.ac.kr/iec/sub04_05.do
국립한국해양대학교,univ,2027_own,https://www.kmou.ac.kr/ipsi/na/ntt/selectNttInfo.do?nttSn=10375147&mi=3298&currPage=1,not_found,https://www.kmou.ac.kr/ipsi/main.do,2026_or_older,https://www.kmou.ac.kr/global/cm/cntnts/cntntsView.do?mi=2702&cntntsId=2296
국립한밭대학교,univ,2026_or_older,https://www.hanbat.ac.kr/admission/sub04_010102.do,2026_or_older,https://www.hanbat.ac.kr/bbs/BBSMSTR_000000000476/view.do?nttId=B000000166489Ro2jC1u&mno=sub06_01,unknown_year,https://www.hanbat.ac.kr/global/sub05_01.do
국민대학교,univ,2027_own,https://admission.kookmin.ac.kr/foreigner/notice.php?ctype=view&s_key=&s_word=&page=0&no=1072,2026_or_older,https://iat.kookmin.ac.kr/admission/community/notice/656,unknown_year,https://iie.kookmin.ac.kr/
극동대학교,univ,2026_or_older,https://www.kdu.ac.kr/ipsi/sub.do?mncd=1354,not_found,,unknown_year,https://www.kdu.ac.kr/home/sub.do?mncd=2156
금강대학교,univ,2027_adiga,adiga_2027 (downloaded),unknown_year,https://www.ggu.ac.kr/graduate,not_found,https://www.ggu.ac.kr/sub0401/haksa/year/2027
