school,type,ba,ma,lang,ba_url,ma_url,lang_url
가야대학교,univ,2027,2026,no-url,https://drive.google.com/file/d/1bJtNj136i69JMOH0QqYm94dwCrhix1RU/view,https://drive.google.com/file/d/1o3xlX6I5fsRtYKLo3mUZV4N-t-Sy_bw9/view,
가천대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1oJYmzI7N61370oYkuCkeq3tA4gmmkXIF/view,https://drive.google.com/file/d/18lDTjpwlTbGss31jy60Qe9pA4zRnyO4q/view,https://oia.gachon.ac.kr/international/a/m/klecInfo.do
가톨릭관동대학교,univ,2027,,open(no yr text),https://drive.google.com/file/d/1wWQ9No5gdtdx1oaod_PoL2vMx7pRxxq_/view,,http://www.cku.ac.kr/oia/5520/subview.do
가톨릭꽃동네대학교,univ,2026,,no-url,https://drive.google.com/file/d/1bVoFUN13nYpc2U71C97vuiKIONWbKym8/view,,
가톨릭대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1wNehCMj3KksA5KkB8gTtkQEmXRrr-EM8/view,https://drive.google.com/file/d/1eXbVvIF37IAZ9uMImec1WdMOL1-Ul9j9/view,https://kli.catholic.ac.kr/kli/index.do
감리교신학대학교,univ,2027,,no-url,https://drive.google.com/file/d/1LmR8Ee0HG6cW2Fw1JhoiV7KHbCPlSMXy/view,,
강남대학교,univ,2026,,no-url,https://drive.google.com/file/d/1V9r0urc2KH_gUL71xu3iGhQhMz-D4HA1/view,,
강서대학교,univ,2027,2026,no-url,https://drive.google.com/file/d/1QBZUmstn6xsWszulW5la7w2U0n9WvhoV/view,https://drive.google.com/file/d/1qYwwL_LBjib0wDgojaCRdvcoRsBhd_9J/view,
강원대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1KuCiv2Zqql6KULMcAQ93daAesG5EeYmD/view,https://drive.google.com/file/d/1Lpkv3ZOKItjRppi6DintV_O1H4XnYKl1/view,https://oiaknu.kangwon.ac.kr/oiaknu/language/korean/guide-chuncheon01.do
건국대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/17lkDOEbhw_uJJ1_-l1asy2LLzFYRmRGQ/view,https://drive.google.com/file/d/1JhTGgC5caOZTLo2ku8Ict8yNcoKRcgAH/view,https://fli.konkuk.ac.kr/ko/regular/
건양대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1Qs2mJQscnzevkCpHuW4Qw5SBvSB7wYX_/view,https://drive.google.com/file/d/1avC9jxGpynqNFCB5n9Cc5SolS1c76Z33/view,https://interedu.konyang.ac.kr/interedu/sub05_03.do
경기대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1MgrFaEIIquxnS4jTs9RSTsxv2qcKR-DL/view,https://drive.google.com/file/d/1lLJUM0YISJKcJSx82gAjaGJJMkX0WwRu/view,https://www.kyonggi.ac.kr/IOIE/contents.do?key=1494
경남대학교,univ,2027,2026,2027?,https://drive.google.com/file/d/1yBr6aw-kuCmS4Kqi3xT2SWR3SoFOHxXP/view,https://drive.google.com/file/d/1sGdHmtd7GAs8ogR4PDh5GvcSDAAXDLt6/view,https://www.kyungnam.ac.kr/international/6904/subview.do
경동대학교,univ,2027,,no-url,https://drive.google.com/file/d/190zjej1Ry22WhV7QAFAgH1MwTVi5v_hA/view,,
경북대학교,univ,2027,2026,fail(500),https://drive.google.com/file/d/1ws-lrauAVKS7IxvX9OInIoSBy0D_1MDF/view,https://drive.google.com/file/d/1lU40HtfGqXLAh_HKBW5nTT8179onz6c9/view,https://lang.knu.ac.kr/hmpg/cms/subPage/MNU0080133.knu
경상국립대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1pWjXAE5HGqcxbiQ03VEoxsAL4_DIMmvs/view,https://drive.google.com/file/d/1hFFqgWDLgzk9iSoV895G-wV2Gx-yPUaB/view,https://www.gnu.ac.kr/sle/cm/cntnts/cntntsView.do?mi=7772&cntntsId=4140
경성대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1PwDlpcgxzO6rHA0oT9h-l0GiK38ufpIZ/view,https://drive.google.com/file/d/1F7cX-dOF7krL5zz959RDc6xfBXxiLP7f/view,https://kscms.ks.ac.kr/lec/CMS/Contents/Contents.do?mCode=MN070
경운대학교,univ,,,fail(0),,,https://www.ikw.ac.kr/worldle/page/link.tc?mn=5711&pageSeq=4630
경일대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/15P_yvxyIAQpCCq0nP8rhNW7fkYOs4fdG/view,https://drive.google.com/file/d/1085KK5JlfiupCserVKRDbclYlAwNFF-P/view,https://global.kiu.ac.kr/
경희대학교,univ,2027,2026,2027?,https://drive.google.com/file/d/1JhD6CkiAU5iYL2DOyROrkmJhHY9DPtcY/view,https://drive.google.com/file/d/12XN2dbPZFEd-ffAZRPhJaVroTKsB9G0U/view,https://iie.khu.ac.kr/bbs/content.php?co_id=OnCampus
계명대학교,univ,2027,2026,fail(0),https://drive.google.com/file/d/1hFW4RPKaSupHtD1EVrigZ3dNA4ZwQGYa/view,https://drive.google.com/file/d/1PIlv2Jqeb0iAc2AENciJFVQSEdRC7ikc/view,https://kintlcenter.kmu.ac.kr/sites/kintlcenter/index.do
고려대학교,univ,2027,2026,2027?,https://drive.google.com/file/d/1N5b_3A7V-xlgOK3LK_-RytmiB5yEt0m9/view,https://drive.google.com/file/d/1Cn-H3c50lGnEKYgYopkR1OnY3Fak8fOa/view,https://klc.korea.ac.kr/klckor/course/regular_guide.do
고신대학교,univ,2027,,fail(0),https://drive.google.com/file/d/1UPVdgHE64mFJdPD0-ePsRe-rz2x6lRaX/view,,https://global.kosin.ac.kr/korean/bbs/board.php?bo_table=notice&wr_id=137
광신대학교,univ,2026,,no-url,https://drive.google.com/file/d/1JipyW1w_bzs0vhHNzWjz4UnabgEYielp/view,,
광운대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1YxGI-nnWcMa_HlCFC7jspqI2uXbr7OQe/view,https://drive.google.com/file/d/1YhbD0fSmOLoIZGlPFmpnwFWIQejqiEry/view,https://kwiie.kw.ac.kr/
광주대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1lYrUqtAr-F2wo7NtJTNLM_YNdaqyaEFF/view,https://drive.google.com/file/d/1wBzOdLhWo-YFfk9VdcvGo0CWy-Ljn2v4/view,https://ie.gwangju.ac.kr/board/?board=notice&site=gw_ie&mn=1438&type=view&post_idx=167953
광주여자대학교,univ,,,open(no yr text),,,https://globalgate.kwu.ac.kr/mod/page/view.do?MID=GLOBALGATE_C05010101
국립강릉원주대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1gSowC-Fy07cYcEoCPIPDK1K4YOkdjqFo/view,https://drive.google.com/file/d/1ft6HMaPQO7wvoazlZvhLgsHlS6E6sXbQ/view,https://kls.gwnu.ac.kr/application/
국립경국대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1g4MRG-lJB0v1Dr4IwzT1tR_VVi53uNrE/view,https://drive.google.com/file/d/1KpKLkpRJ4-N5irNuIUacFYGIWSvAlu_1/view,https://ic.gknu.ac.kr/bbs/korean.php
국립공주대학교,univ,2026,2026,fail(0),https://drive.google.com/file/d/1V1xuIgT1MvdX9KPlfyXUSvZZq4Bdg4nF/view,https://drive.google.com/file/d/1jjKJ6bL483cE6gCzd6rnugng3cTid-bv/view,https://iile.kongju.ac.kr/
국립군산대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1k2jkuo-7_kDxxyZIEcT6Lw01xcAsraRK/view,https://drive.google.com/file/d/1mT_U1Rx53IwxKT0OJfNQXJQwQHcwOX98/view,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303005000000
국립금오공과대학교,univ,2026,2026,2027?,https://drive.google.com/file/d/1XGN8PgGQPhN_f6c2kpeoTFsbwDEE8_pM/view,https://drive.google.com/file/d/1lOiJBtH0EGccuwbCz4ia6KACTAg9G-D1/view,https://www.kumoh.ac.kr/iplec/sub06010102.do
국립목포대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1Yrg2aJ1cJleanabMUtvgSCALQREAZWDR/view,https://drive.google.com/file/d/1hteFQxjUF4MlJvEM3o0zJPGQ9i6v_7XS/view,https://oia.mokpo.ac.kr/bbs/iiee/155/280933/artclView.do
국립목포해양대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1mZCjmh6ob3Ixs_OYiymgIySZIcTiDwGP/view,https://drive.google.com/file/d/1z6wk5FZLgS1IBrdRVRCZNMJ-exrir8l6/view,https://www.mmu.ac.kr/OE/board/185
국립부경대학교,univ,2026,2026,fail(0),https://drive.google.com/file/d/1xO2Shwfa_71bavZqJENyOrjjK_f6Nezu/view,https://drive.google.com/file/d/1RJlhpZfLVcuBaR5ipkbVwsmGdF6WPUVy/view,https://admission.pknu.ac.kr/
국립순천대학교,univ,2026,2026,2027?,https://drive.google.com/file/d/11e6bsaO7brMATjYBMJHeGK8hNFgdnJBv/view,https://drive.google.com/file/d/134PLk6ZSktcSRg1WN_Ie3o99UCo4VBt1/view,https://www.scnu.ac.kr/ials/cm/cntnts/cntntsView.do?mi=1844&cntntsId=1583
국립창원대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1wmlRIy0yvNn7M7C2kM2k0UEdJjHYXhw3/view,https://drive.google.com/file/d/1_W8Ec5oH45VIVEdZl1xjj9YsSiCC2xqJ/view,https://www.changwon.ac.kr/international/cm/cntnts/cntntsView.do?mi=18689&cntntsId=6832
국립한국교통대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1YhKdE3Qzj1v3DxemKCNBQyRfi-B39UaM/view,https://drive.google.com/file/d/1JPnb2Z0MA3aJYSYbeu1WyFMn5EyWq63E/view,https://www.ut.ac.kr/iec/sub04_05.do
국립한국해양대학교,univ,2026,2026,fail(404),https://drive.google.com/file/d/19DKDlr_LEjCSXiIAwHIll1DV10Q3IxPd/view,https://drive.google.com/file/d/16NHH89_Z-QUtMQQbgpEmUyVH-EKEPSF6/view,https://www.kmou.ac.kr/global/cm/cntnts/cntntsView.do?mi=2702&cntntsId=2296
국립한밭대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1lNXsXvLaegvDW3F1r8QGfVb63miTHBvw/view,https://drive.google.com/file/d/1ol--C78znRzyergIbvDmEPA_Mvspw9eI/view,https://www.hanbat.ac.kr/global/sub05_01.do
국민대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1SlmJtqkza_NSjIuF4hLXRttrn_AfCrrA/view,https://drive.google.com/file/d/1cPM5NKDAfgEqG5rcr4VFzth8tYaXTpmx/view,https://iie.kookmin.ac.kr/
극동대학교,univ,2026,2026,2027?,https://drive.google.com/file/d/1StLshQ2d0GmIVKiko_1BlNjZnlYjwQuk/view,https://drive.google.com/file/d/1-P2AF9hR5gwHTz1JDUk3X5d1KyXifp7n/view,https://www.kdu.ac.kr/home/sub.do?mncd=2156
금강대학교,univ,2027,,no-url,https://drive.google.com/file/d/1IUAZWnN9Cjy4Tg6I12a2kzo742G8vFIq/view,,
김천대학교,univ,2026,,open(no yr text),https://drive.google.com/file/d/1vUOPhvt8Le-kRyjF4zQfcOrdKq-z5Gop/view,,https://iec.gimcheon.ac.kr/
나사렛대학교,univ,2026,,no-url,https://drive.google.com/file/d/1Htj8olRBgKpKyHGR47-oxAKDcsmGgXRG/view,,
남부대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1Ozl4jYzSStuKuodCKlvevVLfUreJP5t3/view,https://drive.google.com/file/d/1Sgj-WuCekegrN9R0okW2KbS5LTCfHx0m/view,https://global.nambu.ac.kr/content/view.do?menuCd=dept_globa002003
남서울대학교,univ,,,open(no yr text),,,https://nice.nsu.ac.kr/?p=26
단국대학교,univ,2027,2026,2027?,https://drive.google.com/file/d/1e2E2to5j5uIUlCQq4xqbjzMOwVhu3FuW/view,https://drive.google.com/file/d/1dLVfgYj_jYkln3t8AWmKke06O2bctUyf/view,https://klc.dankook.ac.kr/
대구가톨릭대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1PRToucvNNH5t5rvmvvl6kqi44Sa6n8ne/view,https://drive.google.com/file/d/1FFbinN530QBByWnXkgGjGQe-ROCSo_tZ/view,https://academics.cu.ac.kr/home/detail/etc/klei/
대구대학교,univ,2026,2026,open(no yr text),https://drive.google.com/file/d/1oYNeTGWtUi12vSY4OONiEzThCWOo8rLW/view,https://drive.google.com/file/d/1pUWM8P31kEwUqzYmoD_UG6Ftulq5EYXE/view,https://www.daegu.ac.kr/dept/955/detail
대구예술대학교,univ,2026,,no-url,https://drive.google.com/file/d/1vPp7PEhxER7YnBUWEIAPPxdj5ohfq6H6/view,,
대구한의대학교,univ,2026,2026,2027?,https://drive.google.com/file/d/1MH5jrnU9u8XVk0CllyHc8KnzPAKTZH01/view,https://drive.google.com/file/d/1AysaOsDQLNUlE5GN5Ze8CB_ldYeIJZez/view,http://www.dhu.ac.kr/HOME/exchange/sub.htm?hmode=p&nav_code=exc1574837612
대신대학교,univ,2026,,fail(0),https://drive.google.com/file/d/1U_trFi5thSaJxU1obzsnetbMZo9y8RGD/view,,https://www.daeshin.ac.kr/html/03_edu/03_4_1.php
대전가톨릭대학교,univ,2027,,no-url,https://drive.google.com/file/d/1A6smIYubcbD9U4RoBjCTevL5qJ6AvMpW/view,,
대전대학교,univ,2027,2026,open(no yr text),https://drive.google.com/file/d/1LbZPVL9bdXfuUsboB85cEBywfEaE8ctE/view,https://drive.google.com/file/d/18BMusdmPPeJJs_7s3fm5SAyBcSQeNik7/view,https://www.dju.ac.kr/intro/global/cntnts.html?mi=7425#lang-center
대진대학교,univ,2026,2026,fail(302),https://drive.google.com/file/d/1HSCkTtVuCwuZ3YJC6mCKau8fgRObxp1O/view,https://drive.google.com/file/d/1Ah_DNhY_5mQur8k7Yr9p45HL61vSpDZP/view,https://www.daejin.ac.kr/abroad/5220/subview.do
