전문대 미보유: 84
강릉영동대학교: 4 후보
경기과학기술대학교: 2 후보
경남정보대학교: 0 후보
경민대학교: 0 후보
경복대학교: 0 후보
경북과학대학교: 0 후보
경북전문대학교: 0 후보
경인여자대학교: 0 후보
계명문화대학교: 0 후보
계원예술대학교: 4 후보
광주보건대학교: 0 후보
구미대학교: 0 후보
국제대학교: 0 후보
군장대학교: 3 후보
김포대학교: 0 후보
대경대학교: 4 후보
대구과학대학교: 0 후보
대구보건대학교: 1 후보
대림대학교: 0 후보
대전과학기술대학교: 0 후보
대전보건대학교: 0 후보
동강대학교: 0 후보
동남보건대학교: 1 후보
동서울대학교: 1 후보
동아방송예술대학교: 1 후보
동양미래대학교: 0 후보
동원과학기술대학교: 1 후보
동원대학교: 19 후보
동의과학대학교: 0 후보
두원공과대학교: 0 후보
마산대학교: 0 후보
명지전문대학: 0 후보
목포과학대학교: 0 후보
배화여자대학교: 1 후보
백석문화대학교: 0 후보
부산과학기술대학교: 0 후보
부산보건대학교: 0 후보
부천대학교: 1 후보
서영대학교: 0 후보
서울예술대학교: 0 후보
서일대학교: 1 후보
서정대학교: 3 후보
송곡대학교: 0 후보
수성대학교: 4 후보
수원과학대학교: 0 후보
수원여자대학교: 0 후보
순천제일대학교: 2 후보
숭의여자대학교: 0 후보
신구대학교: 0 후보
신성대학교: 0 후보
신안산대학교: 1 후보
아주자동차대학: 4 후보
안동과학대학교: 1 후보
안산대학교: 1 후보
여주대학교: 0 후보
연성대학교: 0 후보
영남이공대학교: 2 후보
영진전문대학: 0 후보
오산대학교: 0 후보
용인예술과학대학교: 0 후보
우송정보대학: 7 후보
울산과학대학교: 0 후보
원광보건대학교: 0 후보
인덕대학교: 0 후보
인하공업전문대학: 0 후보
장안대학교: 0 후보
재능대학교: 0 후보
전남과학대학교: 0 후보
전주비전대학교: 9 후보
제주한라대학교: 0 후보
조선이공대학교: 2 후보
진주보건대학교: 1 후보
청강문화산업대학교: 0 후보
춘해보건대학교: 0 후보
충북도립대학: 9 후보
충북보건과학대학교: 0 후보
충청대학교: 0 후보
한국골프대학교: 3 후보
한국영상대학교: 0 후보
한림성심대학교: 0 후보
한양여자대학교: 15 후보
한영대학: 0 후보
혜전대학교: 8 후보
호산대학교: 3 후보

저장: _junior_foreign_crawl.json (84교)
EXIT=0
