URL: https://www.gw.ac.kr/po/portal/educational/scholarship

### 장학정보

| 번호 | 제목 | 작성자 | 등록일 | 조회수 |
|---|---|---|---|---|
| ![공지](/page/common/images/notice_speaker_icon.png) | ★필독★ [근로장학] 2026학년도 1학기 한국장학재단 국가근로장학 추가 신청 안내: 4. 24.(금). ~ 5. 13.(수) 18시까지 | 교학처 | 2026-04-20 | 52 |
| ![공지](/page/common/images/notice_speaker_icon.png) | [서식] 교내 장학금 신청서 서식 게시 | 교학처 | 2026-01-07 | 307 |
| ![공지](/page/common/images/notice_speaker_icon.png) | [한국장학재단] 학적변동 시 국가장학금 처리 안내 (자퇴/제적/휴학생/복학생 필독) | 교학처 | 2024-07-31 | 1181 |
| 143 | (세종연구원) 2026년도 세종이도인재장학금 장한색 선발 안내 | 교학처 | 2026-05-12 | 9 |
| 142 | (화성시인재육성재단) 2026년 주거비지원 장학생 선발 안내 | 교학처 | 2026-05-06 | 8 |
| 141 | (경기도민회장학회) 2026년 경기도민회장학회 장학생 선발 안내 | 교학처 | 2026-05-06 | 4 |
| 140 | [근로장학] 2026년 4월분 근로장학금 지급예정일 안내 : 5. 11.(월) 예정 | 교학처 | 2026-04-29 | 24 |
| 139 | (강원랜드) 2026 강원랜드 멘토링 장학 장학생 모집 안내 | 교학처 | 2026-04-27 | 20 |
| 138 | (재단법인충남평생교육진흥원) 2026년 재능키움 장학사업 안내 | 교학처 | 2026-04-21 | 5 |
| 137 | 제5회 May Thank's Maker Day | 창의혁신지역협력센터 | 2026-04-16 | 58 |
| 136 | 2026학년도 자기계발지원장학금 지원 알림 | 교학처 | 2026-04-03 | 508 |
| 135 | (우양재단) 2026년 우양재단 기명·기타 장학생 모집 안내 | 교학처 | 2026-03-30 | 30 |
| 134 | (강원인재원) 2026년 「강원·세종건설·신디자인랩」 브랜드장학금 장학생 선발 안내 | 교학처 | 2026-03-30 | 18 |
| 133 | [근로장학] 2026년 3월분 근로장학금 지급예정일 안내(지급완료) | 교학처 | 2026-03-27 | 74 |
| 132 | [한국장학재단] 2026년 푸른등대 삼성기부장학금 신규장학생 선발 안내 | 교학처 | 2026-03-25 | 14 |
