school,type,region,lang_url,status
가천대학교,4-year,,https://oia.gachon.ac.kr/international/a/m/klecInfo.do,2026_or_older
가톨릭관동대학교,4-year,,http://www.cku.ac.kr/oia/5520/subview.do,2026_or_older
가톨릭대학교,4-year,,https://kli.catholic.ac.kr/kli/index.do,2026_or_older
강남대학교,4-year,,https://web.kangnam.ac.kr/menu/b6cdaa2d20ed253e51964ec6c6aeba1e.do?encMenuSeq=6962b3e0e6c7e477f53fd9b87bf2229a,own_site
강원대학교,4-year,,https://oiaknu.kangwon.ac.kr/oiaknu/language/korean/guide-chuncheon01.do,unknown_year
건국대학교,4-year,,https://fli.konkuk.ac.kr/ko/regular/,unknown_year
건양대학교,4-year,,https://interedu.konyang.ac.kr/interedu/sub05_03.do,2026_or_older
경기대학교,4-year,,https://www.kyonggi.ac.kr/IOIE/contents.do?key=1494,2026_or_older
경남대학교,4-year,,https://www.kyungnam.ac.kr/international/6904/subview.do,2026_or_older
경동대학교,4-year,,https://global.kduniv.ac.kr/korean/,own_site
경북대학교,4-year,,https://lang.knu.ac.kr/hmpg/cms/subPage/MNU0080133.knu,2026_or_older
경상국립대학교,4-year,,https://www.gnu.ac.kr/sle/cm/cntnts/cntntsView.do?mi=7772&cntntsId=4140,2026_or_older
경성대학교,4-year,,https://kscms.ks.ac.kr/lec/CMS/Contents/Contents.do?mCode=MN070,unknown_year
경운대학교,4-year,,https://www.ikw.ac.kr/worldle/page/link.tc?mn=5711&pageSeq=4630,unknown_year
경일대학교,4-year,,https://www.kiu.ac.kr/HOME/exchange/sub.htm,own_site
경희대학교,4-year,,https://iie.khu.ac.kr/bbs/content.php?co_id=OnCampus,2027_guide
계명대학교,4-year,,https://kintlcenter.kmu.ac.kr/sites/kintlcenter/index.do,2026_or_older
고려대학교,4-year,,https://klc.korea.ac.kr/klckor/course/regular_guide.do,2026_or_older
고신대학교,4-year,,https://global.kosin.ac.kr/korean/bbs/board.php?bo_table=notice&wr_id=137,2026_or_older
광운대학교,4-year,,https://kwiie.kw.ac.kr/,2027_guide
광주대학교,4-year,,https://ie.gwangju.ac.kr/board/?board=notice&site=gw_ie&mn=1438&type=view&post_idx=167953,not_found
광주여자대학교,4-year,,https://globalgate.kwu.ac.kr/mod/page/view.do?MID=GLOBALGATE_C05010101,not_found
국립강릉원주대학교,4-year,,https://kls.gwnu.ac.kr/application/,2026_or_older
국립경국대학교,4-year,,https://ic.gknu.ac.kr/bbs/korean.php,not_found
국립공주대학교,4-year,,https://iile.kongju.ac.kr/,not_found
국립군산대학교,4-year,,https://www.kunsan.ac.kr/inter/index.kunsan?menuCd=DOM_000013303005000000,not_found
국립금오공과대학교,4-year,,https://www.kumoh.ac.kr/iplec/sub06010102.do,2026_or_older
국립목포대학교,4-year,,https://oia.mokpo.ac.kr/bbs/iiee/155/280933/artclView.do,2026_or_older
국립목포해양대학교,4-year,,https://www.mmu.ac.kr/OE/board/185,2026_or_older
국립부경대학교,4-year,,https://admission.pknu.ac.kr/,2026_or_older
국립순천대학교,4-year,,https://www.scnu.ac.kr/ials/cm/cntnts/cntntsView.do?mi=1844&cntntsId=1583,2026_or_older
국립창원대학교,4-year,,https://www.changwon.ac.kr/international/cm/cntnts/cntntsView.do?mi=18689&cntntsId=6832,2026_or_older
국립한국교통대학교,4-year,,https://www.ut.ac.kr/iec/sub04_05.do,unknown_year
국립한국해양대학교,4-year,,https://www.kmou.ac.kr/global/cm/cntnts/cntntsView.do?mi=2702&cntntsId=2296,2026_or_older
국립한밭대학교,4-year,,https://www.hanbat.ac.kr/global/sub05_01.do,unknown_year
국민대학교,4-year,,https://iie.kookmin.ac.kr/,unknown_year
극동대학교,4-year,,https://www.kdu.ac.kr/home/sub.do?mncd=2156,unknown_year
김천대학교,4-year,,https://iec.gimcheon.ac.kr/,2026_or_older
나사렛대학교,4-year,,https://www.kornu.ac.kr/,own_site
남부대학교,4-year,,https://global.nambu.ac.kr/content/view.do?menuCd=dept_globa002003,2026_or_older
남서울대학교,4-year,,https://nice.nsu.ac.kr/?p=26,unknown_year
단국대학교,4-year,,https://klc.dankook.ac.kr/,2027_guide
대구가톨릭대학교,4-year,,https://academics.cu.ac.kr/home/detail/etc/klei/,2026_or_older
대구대학교,4-year,,https://www.daegu.ac.kr/dept/955/detail,unknown_year
대구한의대학교,4-year,,http://www.dhu.ac.kr/HOME/exchange/sub.htm?hmode=p&nav_code=exc1574837612,2026_or_older
대신대학교,4-year,,https://www.daeshin.ac.kr/html/03_edu/03_4_1.php,2026_or_older
대전대학교,4-year,,https://www.dju.ac.kr/intro/global/cntnts.html?mi=7425#lang-center,unknown_year
대진대학교,4-year,,https://www.daejin.ac.kr/abroad/5220/subview.do,2026_or_older
덕성여자대학교,4-year,,https://dilc.ds.ac.kr/main/eng_main.php,2026_or_older
동국대학교,4-year,,https://interlang.dongguk.edu/index_kr.php,2026_or_older
동덕여자대학교,4-year,,https://kli.dongduk.ac.kr/,2026_or_older
동명대학교,4-year,,https://www.tu.ac.kr/kli/index.do,2026_or_older
동서대학교,4-year,,https://uni.dongseo.ac.kr/iec/index.php?pCode=admission&mode=view&idx=748,2026_or_older
동신대학교,4-year,,https://ie.dsu.ac.kr/ie/index.php?pCode=korprogram,unknown_year
동아대학교,4-year,,http://www.donga.ac.kr/global/CMS/Contents/Contents.do?mCode=MN032,not_found
동양대학교,4-year,,https://korean.dyu.ac.kr/,unknown_year
동의대학교,4-year,,https://deuhome.deu.ac.kr/language/sub08_01.do,2026_or_older
명지대학교,4-year,,https://klec.mju.ac.kr/application/application_01.php,2027_guide
목원대학교,4-year,,https://www.mokwon.ac.kr/klec/,unknown_year
배재대학교,4-year,,https://www.pcu.ac.kr/eckfl,unknown_year
백석대학교,4-year,,https://www.bu.ac.kr/bulanguage/index.do,unknown_year
부산가톨릭대학교,4-year,,https://text.cup.ac.kr/organ/ext/front/conts/106003001000000.do,unknown_year
부산대학교,4-year,,https://lei.pusan.ac.kr/,unknown_year
부산외국어대학교,4-year,,https://klce.bufs.ac.kr/,2026_or_older
삼육대학교,4-year,,https://www.syu.ac.kr/iie/korean-course/course-introduction/,2026_or_older
상명대학교,4-year,,https://cklc.smu.ac.kr/,2027_guide
상지대학교,4-year,,https://www.sangji.ac.kr/global/sub03_01.do,unknown_year
서강대학교,4-year,,https://klec.sogang.ac.kr/,2026_or_older
서경대학교,4-year,,https://lcec.skuniv.ac.kr/korean-course,2026_or_older
서울과학기술대학교,4-year,,https://klc.seoultech.ac.kr/,2026_or_older
서울교육대학교,4-year,,https://language.snue.ac.kr/,2026_or_older
서울대학교,4-year,,https://lei.snu.ac.kr/klec/,2026_or_older
서울시립대학교,4-year,,https://klcp.uos.ac.kr/klcp/main.do,2027_guide
서울신학대학교,4-year,,https://klei.stu.ac.kr/,unknown_year
서울여자대학교,4-year,,https://klc.swu.ac.kr/,2027_guide
서울장신대학교,4-year,,https://www.sjs.ac.kr/ht_ml/w_01ed/1321_i.php,own_site
서울한영대학교,4-year,,https://ili.shyu.ac.kr/fro_end/html/dep_03/3200.php,2026_or_older
서원대학교,4-year,,https://www.seowon.ac.kr/kli/index.do,2027_guide
선문대학교,4-year,,https://kli.sunmoon.ac.kr/file/%EC%84%A0%EB%AC%B8%EB%8C%80%ED%95%99%EA%B5%90%EB%AA%A8%EC%A7%91%EC%9A%94%EA%B0%95%2026%EB%85%84_%EC%96%B4%ED%95%99%EC%9B%90_%ED%95%9C%EA%B5%AD%EC%96%B4.pdf,2026_or_older
성결대학교,4-year,,https://fims.sungkyul.ac.kr/application/,2026_or_older
성공회대학교,4-year,,https://www.skhu.ac.kr/studykorean/5671/subview.do,unknown_year
성균관대학교,4-year,,https://koreansli.skku.edu/ksli/index2.do,2026_or_older
성신여자대학교,4-year,,https://www.sungshin.ac.kr/siie_kor/20413/subview.do,unknown_year
세명대학교,4-year,,https://www.semyung.ac.kr/smiie.do,unknown_year
세종대학교,4-year,,https://sos.sejong.ac.kr/kor/admission/koreaedu/index.do,2027_guide
세한대학교,4-year,,https://www.sehan.ac.kr/sehan/271/subview.do,unknown_year
송원대학교,4-year,,https://iec.songwon.ac.kr/,2026_or_older
수원대학교,4-year,,https://koredu.suwon.ac.kr/,2026_or_older
숙명여자대학교,4-year,,https://lingua.sookmyung.ac.kr/,2026_or_older
순천향대학교,4-year,,https://sgee.sch.ac.kr/guide/guide03.php,2026_or_older
숭실대학교,4-year,,https://language.ssu.ac.kr/,2026_or_older
신경주대학교,4-year,,http://korean.gu.ac.kr/,not_found
신라대학교,4-year,,https://skli.silla.ac.kr/,2026_or_older
신한대학교,4-year,,https://www.shinhan.ac.kr/kr/281/subview.do,2027_guide
아신대학교,4-year,,https://www.acts.ac.kr/design/contents10.asp?code=15151115&left=acts6_2,not_found
아주대학교,4-year,,http://www.ajou.ac.kr/iadmissions/korean/course.do,2026_or_older
안양대학교,4-year,,https://www.anyang.ac.kr/main/academic/international-exchange.do,own_site
연세대학교,4-year,,https://www.yskli.com/course.php?mid=K01_02,2026_or_older
영남대학교,4-year,,https://www.yu.ac.kr/kli/index.do,2026_or_older
영남신학대학교,4-year,,http://langytus.tcubemnet.com/content/38,unknown_year
영산대학교,4-year,,https://klec.ysu.ac.kr/,2026_or_older
예원예술대학교,4-year,,https://www.yewon.ac.kr/main/?menu=495,2026_or_older
용인대학교,4-year,,https://language.yongin.ac.kr/,2026_or_older
우석대학교,4-year,,http://www.woosuk.ac.kr/main/?menu=161,own_site
우송대학교,4-year,,https://wkli.wsu.ac.kr/,2027_guide
울산대학교,4-year,,https://international.ulsan.ac.kr/international/405,2026_or_older
원광대학교,4-year,,https://ipsi.wku.ac.kr/submenu.do?menuurl=8pYtphfeWm2Bb85hdKCTcQ%3D%3D&,2026_or_older
위덕대학교,4-year,,https://lang.uu.ac.kr/sub_5/index3.php,error
유원대학교,4-year,,https://www.u1.ac.kr/global/education/greetings.do,2026_or_older
을지대학교,4-year,,http://eulji.ac.kr/cile/,error
이화여자대학교,4-year,,https://elc.ewha.ac.kr/elc/main.do,2026_or_older
인제대학교,4-year,,https://korean.inje.ac.kr/,2027_guide
인천대학교,4-year,,https://korean.inu.ac.kr/inukli/6853/subview.do,2026_or_older
인하대학교,4-year,,https://ltc.inha.ac.kr/,error
장로회신학대학교,4-year,,https://www.puts.ac.kr/pglc/,2026_or_older
전남대학교,4-year,,https://leckor.jnu.ac.kr/,2027_guide
전북대학교,4-year,,https://top.jbnu.ac.kr/sites/lec_korean/index.do,2026_or_older
전주대학교,4-year,,https://oia.jj.ac.kr/oia/kec/entrance.do,2026_or_older
제주국제대학교,4-year,,https://www.jeju.ac.kr/jejuie/korean.htm,not_found
제주대학교,4-year,,https://intl.jejunu.ac.kr/intl/koreanlanguage.htm,unknown_year
조선대학교,4-year,,https://lei.chosun.ac.kr/,2026_or_older
중부대학교,4-year,,https://www.joongbu.ac.kr/menu.es?mid=a10104050500,2026_or_older
중앙대학교,4-year,,https://korean.cau.ac.kr/korean/index.php,2026_or_older
중원대학교,4-year,,https://jwukorean.jwu.ac.kr/site/deptSiteView.jwu,2026_or_older
창신대학교,4-year,,https://global.cs.ac.kr/,2026_or_older
청운대학교,4-year,,https://www.chungwoon.ac.kr/,own_site
청주대학교,4-year,,https://www.cju.ac.kr/www/contents.do?key=6809&,unknown_year
초당대학교,4-year,,https://ilec.cdu.ac.kr/,2026_or_older
총신대학교,4-year,,https://iie.csu.ac.kr/,2026_or_older
추계예술대학교,4-year,,https://www.chugye.ac.kr/mbs/university/subview.jsp?id=university_150203000000,2026_or_older
충남대학교,4-year,,https://dream.cnu.ac.kr/,2026_or_older
충북대학교,4-year,,https://oia.cbnu.ac.kr/language,2026_or_older
칼빈대학교,4-year,,https://calvininternational.co.kr/,2026_or_older
평택대학교,4-year,,https://global.ptu.ac.kr/global/6275/subview.do,unknown_year
포항공과대학교,4-year,,https://picl.postech.ac.kr/,2026_or_older
한경국립대학교,4-year,,https://global.hknu.ac.kr/,2026_or_older
한국공학대학교,4-year,,https://www.tukorea.ac.kr/sites/iec/index..do,2026_or_older
한국성서대학교,4-year,,https://www.bible.ac.kr/ko/center/korean_greet,2027_guide
한국외국어대학교,4-year,,http://www.korean.ac.kr/,2026_or_older
한국항공대학교,4-year,,http://college.kau.ac.kr/web/pages/gc74994h.do,2026_or_older
한남대학교,4-year,,http://cklks.hnu.kr/kor/admission/admission_01.html,2026_or_older
한동대학교,4-year,,https://hgukorean.co.kr/,error
한림대학교,4-year,,https://cge.hallym.ac.kr/sites/klec/index.do,unknown_year
