school,region,rank,n_majors,majors,tuition_min,tuition_max,guide_status,guide_url,lang_req
서울대학교,서울특별시,1,59,"미술경영전공, 미술교육전공, 음악교육전공, 건축학과, 건축학전공, 아동가족학과 외 53개",3109000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
연세대학교,서울특별시,2,60,"함(음악학과, 음악학과, 자(학과, 등(학과, 한국어학과, 통계데이터사이언스학과 외 54개",5169000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
고려대학교,서울특별시,4,11,"경영학과, 의과학과, 의료정보학과, 스마트보안학부, 정보보안학과, 한국어학과 외 5개",,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
성균관대학교,서울특별시,5,57,"화학공학부, 신소재공학부, 기계공학부, 나노공학과, 융합전공, 연기예술학과 외 51개",,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
경희대학교,서울특별시,6,46,"융합과학기술학과, 컨벤션전시경영전공, 전시컨벤션경영전공, 영상의학과, 핵의학과, 한국어학과 외 40개",,,2026_or_older,https://iadmission.khu.ac.kr/gglobalcenter/user/contents/view.do?menuNo=8000048,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
이화여자대학교,서울특별시,6,60,"권장함학부, 음악대학조형예술대학체육과학부융합콘텐츠학과, 미디어디자인전공, 학과학부, 국제학부, 국어국문학과 외 54개",6350000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
건국대학교,서울특별시,8,13,"세부전공, 에너지공학부, 산업공학과, 전자공학부, 건축학과, 생물공학과 외 7개",,,2026_or_older,https://www.konkuk.ac.kr/bbs/konkuk/237/1169866/artclView.do?layout,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
중앙대학교,서울특별시,8,59,"신규학과, 세부전공, 글로벌크리에이티브아트학과, 신설학과, 지능형에너지산업융합학과, 경제학과 외 53개",7063000,11252000,2026_or_older,https://oias.cau.ac.kr/cauoie/grad/notice.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
인하대학교,인천광역시,12,60,"연락학과, 상향학과, 소지자학과, 예외학과, 경영학과, 스마트거버넌스정책전공 외 54개",5921000,,2027_guide,https://internationalcenter.inha.ac.kr/bbs/internationalcenter/2491/183503/artclView.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
국민대학교,서울특별시,14,59,"수학전공, 정보보안전공, 물리및분석화학전공, 유기화학전공, 무기화학전공, 생화학전공 외 53개",5238000,7460000,2026_or_older,https://iat.kookmin.ac.kr/admission/community/notice/656,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
아주대학교,경기도,15,60,"분자과학기술학과, AI융합네트워크학과, 에너지시스템학과, 지능형반도체공학과, 의생명과학과, 인공지능학과 외 54개",5599000,,2026_or_older,https://www.ajou.ac.kr/gs/admission/guide-download.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
서울시립대학교,서울특별시,16,49,"음악학과, 조형디자인학과, 건축학과, 조각학과, 시행학과, 뮤지컬전공 외 43개",3049000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
세종대학교,서울특별시,19,53,"국어국문학과, 영어영문학과, 일어일문학과, 역사학과, 중국통상학과, 교육학과 외 47개",6323000,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
부산대학교,부산광역시,21,60,"전공학과, 국어국문학과, 중어중문학과, 일어일문학과, 영어영문학과, 독어독문학과 외 54개",2652000,5466000,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
가톨릭대학교,경기도,23,42,"경영학과, 국사학과, 사회학과, 사회복지학과, 일어일본문화학과, 종교학과 외 36개",,,2026_or_older,https://gs.catholic.ac.kr/gs/admission/recruitment.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
광운대학교,서울특별시,23,32,"전자공학과, 전자통신공학과, 전기공학과, 전자재료공학과, 컴퓨터공학과, 로봇학과 외 26개",,,2026_or_older,https://oia.kw.ac.kr/admission/graduate.php,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
가천대학교,경기도,25,60,"국어국문학과, 영어영문학과, 동양어문학과, 유럽어문학과, 행정학과, 경영학과 외 54개",,,2026_or_older,https://www.gachon.ac.kr/bbs/kor/740/120007/artclView.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
전북대학교,전라북도,26,60,"음악학과, 한국음악학과, 디자인제조공학과, 중어중문학과, 전자·정보공학부, 국제개발학과 외 54개",2962000,,2026_or_older,https://ioffice.jbnu.ac.kr/ioffice/31621/subview.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
인천대학교,인천광역시,27,59,"국어국문학과, 한국어교육학과, 영어영문학과, 독어독문학과, 불어불문학과, 일본지역문화학과 외 53개",3140000,,2026_or_older,https://www.inu.ac.kr/bbs/grad/1351/artclList.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
충남대학교,대전광역시,28,60,"학과(학부, 복수전공, 개설학과, 소비자학과, 식품영양학과, 의류학과 외 54개",,,unknown,,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
숭실대학교,서울특별시,29,60,"세부전공, 국어국문학과, 영어영문학과, 독어독문학과, 불어불문학과, 프랑스문학과 외 54개",5174000,,2026_or_older,https://grad.ssu.ac.kr/%EC%A0%95%EB%B3%B4%EA%B4%91%EC%9E%A5/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
가야대학교,경상남도,,3,"사회복지상담학전공, 사회복지상담학과, 간호학과",,,2026_or_older,https://ipsi.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000300,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
강원대학교,강원도,,60,"약학과, 글로벌융합학과, 전용학과, 정유·화공분야(화학공학전공, 건설융합학부, 건축공학전공 외 54개",,,2026_or_older,https://cms.kangwon.ac.kr/adgraduate/admission/notice.do?mode=view&articleNo=567148,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
건양대학교,충청남도,,49,"상담심리학과, 군사학과, 경영학과, 교육학과, 병원경영학과, 행정학과 외 43개",,,not_found,https://ipsi.konyang.ac.kr/prog/info/ipsi/sub03_01/foreigner/list.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
경기대학교,경기도,,60,"국어국문학과, 독어독문학과, 문헌정보학과, 유아교육학과, 행정학과, 사회복지학과 외 54개",,,not_found,https://grad.kyonggi.ac.kr,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
경남대학교,경상남도,,43,"인문학과, 사회복지학과, 심리학과, 상담심리학과, 교육학과, 유아교육학과 외 37개",,,not_found,https://www.kyungnam.ac.kr/grad/966/subview.do,한국어트랙 TOPIK 3~4 / 영어트랙 IELTS 5.5~6.5 (학과별 상이)
