가이드연도,순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스학과,장학금,모집기간(요강에서 확인),비고
2027,2,연세대학교,Yonsei University,서울특별시,,5,,3809000,3809000,응용통계학과 (Department of Applied Statistics) / 산업공학과 (Department of Industrial Engineering),성적우수 장학금:  성적우수자→감면액 학교 기준 / 연구 참여 장학금(학부 연구생 프로그램):  학부 연구생 참여→학교 기준,"2026. 9.  1, 9. 17 | 인터넷 원서접수 2026. 9.  1.(화) 10:00 ~ 9. 17.(목) 17:00 § 연세대학교 입학처 홈페이지를 통해 안내 §",adiga 외국인 2027 PDF
2027,4,고려대학교,Korea University,서울특별시,,5,Y,3846000,3846000,통계학과 (Department of Statistics) / 산업경영공학부 (School of Industrial and Management Engineering) / 컴퓨터학과 (Department of Computer Science) / 데이터과학과 (Department of Data Science) / 인공지능학과 (Department of Artificial Intelligence),"Challenge장학금(C): other 한국어센터 정규과정 6급 수료→수업료 500,000원 감면 (외 1단계)","2026. 8. 3 | / 온라인 원서접수 및 서류 업로드 월 2026. 8. 3.( ), 10:00 ~",adiga 외국인 2027 PDF
2027,8,중앙대학교,Chung-Ang University,서울특별시,,4,Y,5320000,8468000,응용통계학과 (Department of Applied Statistics),외국인 장학금(1차 학기): TOPIK 6급 (또는 TOEFL iBT 91 / TOEIC 780 / IELTS 6.5 이상)→수업료 100% (외 1단계),2026.8.31 | 레 ◐ 04. 전형일정 구분 2027학년도 전반기(3월 입학) 1차 비고 원서 접수 2026.8.31.(월) 10:00 ~ 9.18.(금) 18:00,adiga 외국인 2027 PDF
2027,12,인하대학교,Inha University,인천광역시,5.5,3,Y,,,산업경영공학과 (Department of Industrial and Management Engineering) / 인공지능공학과 (Department of Artificial Intelligence Engineering) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 통계학과 (Department of Statistics),글로벌 1 장학금 - TOPIK 성적에 따른 지급 (신입학): TOPIK 4급→1학기 30% 장학금 (외 2단계) / 글로벌 1 장학금 - 영어성적에 따른 지급 (신입학): TOEFL IBT 115점 또는 IELTS 9점 이상→전액 장학금(4년)+월 생활보조 30만원+생활관비 (외 3단계),2026년 09월 30 | - 3 - Ⅱ. 전형 일정 구분 일정 원서접수 (인터넷 접수) 2026년 09월 30일 (수) 10:00 ~,adiga 외국인 2027 PDF
2026,20,숙명여자대학교,Sookmyung Women's University,서울특별시,5.5,3,Y,,,소프트웨어학부 (School of Software) / 데이터사이언스전공 (Data Science Major),세계지역 핵심인재 장학금 (한국어트랙): TOPIK 6급→등록금 90% 감면 (외 3단계) / 세계지역 핵심인재 장학금 (영어트랙): IELTS 8.0 이상→등록금 70% 감면 (외 5단계),11.9(월) | 면접 일정 안내 ※면접심사 해당학과에 한함 2026 11.9(월),2026 Fall Admission 외국인 (2027 아님)
2027,25,가천대학교,Gachon University,경기도,5.5,3,Y,4173800,5665800,"컴퓨터공학과 (Department of Computer Engineering) / 금융·빅데이터학부 (School of Finance and Big Data) / 응용통계학과 (Department of Applied Statistics) / 산업공학전공 (Industrial Engineering Major) / 회화전공 (Painting Major) / 산업디자인전공 (Industrial Design Major) / 기계·스마트·산업공학부 (School of Mechanical, Smart, and Industrial Engineering) / 컴퓨터공학부 (School of Computer Engineering)",외국인장학금(입학장학금): TOPIK 6급→등록금 90% 감면 (외 10단계) / 외국인 장학금 (신입생 장학금): TOPIK 4~5→입학 후 첫 학기 등록금 100% 감면 (외 2단계),"2026. 10. 12(월), 10. 23(금), 2026. 11. 23(월) | 3차 모집 인터넷 원서접수 2026. 10. 12(월), 10:00 ~ 10. 23(금), 16:00 2026. 11. 23(월), 10:00 ~ 12. 4(금), 16:00 2026. 12. 28(월), 10:00",adiga 외국인 2027 PDF
2027,,가톨릭관동대학교,CK University,강원도,,2,,3242000,5226000,항공정비학전공 (Aircraft Maintenance Studies Major) / CG디자인전공 (CG (Computer Graphics) Design Major),신입생 성적우수 장학금: 성적 A급→4년간 등록금 50%(수시) (외 4단계) / 총장특별장학금: 기타 최초학적 등록 신입생 등→100만원(1회),"2026. 7. 6, 7. 10 | Ⅰ. 모집단위 및 모집인원 원서접수 및 전형일정  4 1. 입학원서 접수기간: 2026. 7. 6.(월) 09:00 ~ 7. 10.(금) 18:00 2. 접수방법: 온라인 원서접수  3. 서류제출처(해당자): (25601)강원특별자치도 강릉시 범일로579번길 24 가톨릭관동대학교 마리아관 205호 입학관리팀",adiga 외국인 2027 PDF
2027,,경남대학교,Kyungnam University,경상남도,5.5,3,Y,2903000,4102000,·관광항공서비스학전공 (Tourism and Airline Service Major) / 컴퓨터공학부 (School of Computer Engineering) / ·컴퓨터공학전공 (Computer Engineering Major) / ·소프트웨어전공 (Software Major) / ·컴퓨터보안전공 (Computer Security Major) / 인공지능학과 (Department of Artificial Intelligence),외국인 신·편입학 장학(B/C/D급): TOPIK 4급 이상→입학 해당학기 수업료 70% (외 4단계) / 외국인 유학생 신입생 기숙사비 지원: TOPIK 4급 이상→기숙사비 100% 2회 지원 (외 5단계),"2026. 10. 26, 11. 20 | 비고 원서접수 (방문 또는 우편) 2026. 10. 26.(월) ~ 11. 20.(금) 18:00까지 경남대학교 한국어능력시험(KKPT) ※시간 및 방법 추후 안내",adiga 외국인 2027 PDF
2027,,경동대학교,Kyungdong University,강원도,5.5,3,Y,3364533,3364533,컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어융합보안학과 (Department of Software Convergence and Security),글로벌 외국인유학생 장학금: TOPIK 4급→입학금 전액 면제 + 수업료 50% 감면 (외 2단계),"2026. 09. 07, 09. 11, 2027. 01. 04 | - 6 - ❏ 전형 일정 1. 제 1유형 : 입학정원 2% 이내 정원 외 가. 수시 원서접수(서류접수 포함) : 2026. 09. 07.(월) ~ 09. 11.(금) ※ 합격자 발표 및 등록 기간은 대교협에서 제시한 대학입학전형 기본사항의 수시모집 전형 일정과 동일하게 전형함. 나. 정시 원서접수(서류접수 포함) : 2027. 01. 04.(월) ~ 01.",adiga 외국인 2027 PDF
2027,,계명대학교,KMU University,대구광역시,5.0,3,Y,3250000,4856000,산업공학과 (Department of Industrial Engineering) / 통계학과 (Department of Statistics) / 경영빅데이터학과 (Department of Management Big Data) / 컴퓨터공학과 (Department of Computer Engineering) / 게임소프트웨어학과 (Department of Game Software) / 모빌리티소프트웨어학과 (Department of Mobility Software),외국인 신·편입학생 장학: TOPIK 5급 이상→수업료 100% 감면 (외 2단계) / 외국인장학: TOPIK 3→수업료 30% (외국인장학 2) (외 6단계),"2026. 9. 21, 10. 23, 2026. 11. 30 | [2027년 3월 입학] 원서접수 기간 (온라인 제출: www.uwayapply.com) 2026. 9. 21.(월) ~ 10. 23.(금), 17:00까지 2026. 11. 30.(월) ~ 2027. 1. 4.(월), 17:00까지 서류제출 기간",adiga 외국인 2027 PDF
