전형,가이드연도,순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스관련학과,장학금,비고,가이드링크
외국인,2027,2,연세대학교,Yonsei University,서울특별시,,5,,3809000,3809000,응용통계학과 (Department of Applied Statistics) / 산업공학과 (Department of Industrial Engineering),성적우수 장학금:  성적우수자 → 감면액 학교 기준 / 연구 참여 장학금(학부 연구생 프로그램):  학부 연구생 참여 → 학교 기준,adiga 외국인 2027 PDF,https://drive.google.com/file/d/19kcAQFWEe4wCmfGew2eygHZuQDbzQHKR/view
외국인,2027,4,고려대학교,Korea University,서울특별시,,5,Y,3846000,3846000,통계학과 (Department of Statistics) / 산업경영공학부 (School of Industrial and Management Engineering) / 컴퓨터학과 (Department of Computer Science) / 데이터과학과 (Department of Data Science) / 인공지능학과 (Department of Artificial Intelligence),"Challenge장학금(C): other 한국어센터 정규과정 6급 수료 → 수업료 500,000원 감면 (외 1단계)",adiga 외국인 2027 PDF,https://drive.google.com/file/d/1sB5KJEjuEo6knLpq-zOKMfoG68zDTWFx/view
외국인,2027,8,건국대학교,Konkuk University,서울특별시,5.5,3,Y,4636000,7133000,"컴퓨터소프트웨어학과 (Department of Computer Software) / AI디자인학과 (Department of AI Design) / ㆍAI디자인학과 (Department of AI Design) / ㆍ컴퓨터소프트웨어학과 (Department of Computer Software) / ㆍ국제대학컴퓨터소프트웨어학과 (Department of Computer Software, International College) / 컴퓨터공학부 (School of Computer Engineering)",우수외국인장학(신입) 첫 학기 장학금: TOPIK 3급 → 등록금의 30% (외 3단계) / 외국인 신입생 장학금: TOPIK 6 → 수업료 50% (외 3단계),재외국민과외국인전형 2027,https://drive.google.com/file/d/17lkDOEbhw_uJJ1_-l1asy2LLzFYRmRGQ/view
외국인,2027,8,동국대학교,Dongguk University,서울특별시,,3,Y,4476000,5842000,통계학과 (Department of Statistics) / 정보통신공학과 (Department of Information and Communication Engineering) / 산업시스템공학과 (Department of Industrial Systems Engineering) / 컴퓨터·AI학부 (School of Computer Science and AI) / 컴퓨터공학전공 (Computer Engineering Major) / 멀티미디어소프트웨어공학전공 (Major in Multimedia Software Engineering),어학우수장학: TOPIK 4 → 수업료의 30% (외 2단계),재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/1efYIRu4G_K2Nr9MtfQgXpva8aJUCUi1e/view
외국인,2027,8,중앙대학교,Chung-Ang University,서울특별시,,4,Y,5320000,8468000,응용통계학과 (Department of Applied Statistics),외국인 장학금(1차 학기): TOPIK 6급 (또는 TOEFL iBT 91 / TOEIC 780 / IELTS 6.5 이상) → 수업료 100% (외 1단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1BWRWUaEBpXoNqq9JOyYcsexeI9TnKfjv/view
외국인,2027,12,인하대학교,Inha University,인천광역시,5.5,3,Y,,,산업경영공학과 (Department of Industrial and Management Engineering) / 인공지능공학과 (Department of Artificial Intelligence Engineering) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 통계학과 (Department of Statistics),글로벌 1 장학금 - TOPIK 성적에 따른 지급 (신입학): TOPIK 4급 → 1학기 30% 장학금 (외 2단계) / 글로벌 1 장학금 - 영어성적에 따른 지급 (신입학): TOEFL IBT 115점 또는 IELTS 9점 이상 → 전액 장학금(4년)+월 생활보조 30만원+생활관비 (외 3단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/195Ds8-iJEKdJwWHfki0XOmd0hHksb56u/view
외국인,2027,14,국민대학교,Kookmin University,서울특별시,5.5,5,Y,4322000,6411000,AI빅데이터융합경영학과 (Department of AI Big Data Convergence Management) / 지능형ICT융합전공 (Intelligent ICT Convergence Major) / 소프트웨어학부 (School of Software) / 인공지능학부 (School of Artificial Intelligence) / 공업디자인학과 (Department of Industrial Design) / AI디자인학과 (Department of AI Design),입학성적 우수 장학금: TOPIK 6 → 수업료 100% (외 11단계) / 신입생 TOPIK 우수 장학금: TOPIK 6급 → 수업료 70% (인문계열) (외 5단계),재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/1SlmJtqkza_NSjIuF4hLXRttrn_AfCrrA/view
외국인,2027,16,서울시립대학교,UOS University,서울특별시,,3,Y,2156000,3396000,"전자전기컴퓨터공학부 (School of Electronic, Electrical and Computer Engineering) / 컴퓨터과학부 (School of Computer Science) / 인공지능학과 (Department of Artificial Intelligence) / 통계학과 (Department of Statistics) / 산업디자인전공 (Industrial Design Major) / 첨단인공지능전공 (Advanced Artificial Intelligence Major)",학부 외국인장학금-전액장학금: 상위 30% 성적우수자 / 학부 외국인장학금-반액장학금: 전액 수혜자 외 상위 20% 성적우수자,2027 외국인전형 요강 확인,https://drive.google.com/file/d/17BUB1GcMuZEv9ruPhvYhqPYuslkzXz47/view
외국인,2027,17,한국외국어대학교,Hankuk University of Foreign Studies,서울특별시,5.5,3,Y,4201000,5273000,태국학과 (Department of Thai Studies) / 튀르키예·아제르바이잔학과 (Department of Turkish and Azerbaijani Studies) / Language&AI융합학부 (School of Language & AI Convergence) / SocialScience&AI융합학부 (School of Social Science & AI Convergence) / 우크라이나학과 (Department of Ukrainian Studies) / 통계학과 (Department of Statistics),총장 장학:   → 등록금 100% (첫학기) / 학장 장학:   → 등록금 50% (첫학기),2027 Spring 부모 모두 외국인 외국인특별전형,https://drive.google.com/file/d/1uw4TYnEbTA137UtynsPjB6zvboaWFjd0/view
외국인,2027,19,세종대학교,Sejong University,서울특별시,5.5,3,Y,4556000,6237000,수학통계학과 (Department of Mathematics and Statistics) / 전자정보통신공학과 (Department of Electronic and Information Communication Engineering) / AI융합전자공학과 (Department of AI Convergence Electronic Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 정보보호학과 (Department of Information Security) / 소프트웨어학과 (Department of Software),외국인 학생 장학제도(어학능력 장학): TOPIK 3급 → 수업료 30% (외 3단계),재외국민과 외국인전형 2027,https://drive.google.com/file/d/1guj7CE1tJzC-DagzoXprCO3x2J8mVwN6/view
외국인,2026,20,숙명여자대학교,Sookmyung Women's University,서울특별시,5.5,3,Y,,,소프트웨어학부 (School of Software) / 데이터사이언스전공 (Data Science Major),세계지역 핵심인재 장학금 (한국어트랙): TOPIK 6급 → 등록금 90% 감면 (외 3단계) / 세계지역 핵심인재 장학금 (영어트랙): IELTS 8.0 이상 → 등록금 70% 감면 (외 5단계),2026 Fall Admission 외국인 (2027 아님),https://drive.google.com/file/d/11HOd9t5F7HsBDkH6lvSMhyAIx908ogYo/view
재외국민,2027,21,부산대학교,Pusan National University,부산광역시,5.5,3,,2069000,3197000,데이터사이언스전공 (Data Science Major) / 정보컴퓨터공학부 (School of Information and Computer Engineering) / 컴퓨터공학전공 (Computer Engineering Major) / 인공지능전공 (Artificial Intelligence Major) / 통계학과 (Department of Statistics) / 바이오산업기계공학과 (Department of Bio-Industrial Machinery Engineering),외국인 학생 TOPIK 장학금(첫 학기): TOPIK 4 → 수업료Ⅰ 전액 (외 2단계),"2027 재외국민 특별전형만 확인 (외국인 전형은 국제처 별도, 2027 요강 미확인)",https://drive.google.com/file/d/14b9ExOK7_NUiOwwCAFa88UQ_Pwebl4vy/view
외국인,2027,23,가톨릭대학교,The Catholic University of Korea,경기도,,3,Y,4262000,5964000,컴퓨터정보공학부 (School of Computer and Information Engineering) / 정보통신전자공학부 (School of Information Communication and Electronic Engineering) / 인공지능학과 (Department of Artificial Intelligence) / 데이터사이언스학과 (Department of Data Science) / 바이오메디컬소프트웨어학과 (Department of Biomedical Software) / AI의공학과 (Department of AI Biomedical Engineering),외국인우수장학금(신입학): TOPIK 6급 → 2년 등록금 전액 (외 2단계) / 외국인 신입생 장학금: TOPIK 5~6 → 입학금 전액 및 수업료의 90% (외 4단계),재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/1wNehCMj3KksA5KkB8gTtkQEmXRrr-EM8/view
외국인,2027,25,가천대학교,Gachon University,경기도,5.5,3,Y,4173800,5665800,컴퓨터공학과 (Department of Computer Engineering) / 금융·빅데이터학부 (School of Finance and Big Data) / 응용통계학과 (Department of Applied Statistics) / 산업공학전공 (Industrial Engineering Major) / 회화전공 (Painting Major) / 산업디자인전공 (Industrial Design Major),외국인장학금(입학장학금): TOPIK 6급 → 등록금 90% 감면 (외 10단계) / 외국인 장학금 (신입생 장학금): TOPIK 4~5 → 입학 후 첫 학기 등록금 100% 감면 (외 2단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1KwX77hw63_Lv887ZiP2UzaNoIGIGvb-5/view
외국인,2027,26,전북대학교,Jeonbuk National University,전라북도,5.5,2,Y,2016000,2779000,K-엔터테인먼트학과 (Department of K-Entertainment) / 산업정보시스템공학과 (Department of Industrial and Information Systems Engineering) / 소프트웨어공학과 (Department of Software Engineering) / 컴퓨터인공지능학부 (School of Computer and Artificial Intelligence) / 산업디자인학과 (Department of Industrial Design) / 통계학과 (Department of Statistics),"신입생 성적우수장학금: TOPIK 6급 또는 IELTS 8 이상 → 수업료1,수업료2 전액면제 (외 1단계)",2026/2027 학부 외국인 특별전형 계획 (외국인 별도 존재),https://ioffice.jbnu.ac.kr/bbs/ioffice/3547/353559/artclView.do
재외국민,2027,27,인천대학교,Incheon University,인천광역시,5.5,3,Y,2557000,3217000,산업경영공학과 (Department of Industrial and Management Engineering) / 컴퓨터공학부 (School of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering) / 데이터과학과 (Department of Data Science) / 한국화전공 (Korean Painting Major) / 서양화전공 (Western Painting Major),성적 장학금 (신·편입생): TOPIK 6급 (IELTS 7.0/TOEIC 800/TOEFL 94) → 등록금의 70% (외 2단계),2027 재외국민 특별전형 (재외국민 및 외국인 50명 포함 계획),https://drive.google.com/file/d/1E97ROSFnoZg1hR1efhBB1JX29OOX2RPI/view
외국인,2027,28,충남대학교,Chungnam National University,대전광역시,5.5,4,Y,1807500,2572000,정보통계학과 (Department of Information Statistics) / 정보통신융합학부 (School of Information and Communication Convergence) / 전파정보통신공학과 (Department of Radio and Information Communication Engineering),외국인 신입생 장학금(TOPIK 등급별): TOPIK 5급 이상 → 첫 학기 등록금 전액 (외 1단계),2027 CNU-ASIA 외국인특별전형,https://drive.google.com/file/d/1GD2MrwkaAzEzQuSYyRaPXv8X57ulN7RL/view
재외국민,2027,29,숭실대학교,Soongsil University,서울특별시,,3,Y,4626000,6042000,정보통계·보험수리학과 (Department of Information Statistics and Actuarial Science) / 산업·정보시스템공학과 (Department of Industrial and Information Systems Engineering) / 컴퓨터학부 (School of Computer Science) / AI소프트웨어학부 (School of AI Software) / AI시스템전공 (AI System Major),입학장학금(A) 언어우수 1: TOPIK 6급 → 수업료 100% 감면 (외 3단계),2027 재외국민 특별전형,https://drive.google.com/file/d/1Yli-nSTha1wZt_EFTX0elqs8xm-C_BYa/view
외국인,2027,,가톨릭관동대학교,CK University,강원도,,2,,3242000,5226000,항공정비학전공 (Aircraft Maintenance Studies Major) / CG디자인전공 (CG (Computer Graphics) Design Major),신입생 성적우수 장학금: 성적 A급 → 4년간 등록금 50%(수시) (외 4단계) / 총장특별장학금: 기타 최초학적 등록 신입생 등 → 100만원(1회),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1dUTdBURWpjBlMoCN26nhqTNW-wvq9FHl/view
외국인,2027,,강서대학교,KSU University,서울특별시,5.5,3,,,,G2빅데이터경영학과 (Department of G2 Big Data Management) / AI기반경영학과 (Department of AI-Based Management),"외국인유학생 입학장학금: TOPIK/IELTS TOPIK 4급 이상 또는 IELTS 6.0 이상 → 500,000원 (외 1단계) / 외국인 재학생 장학금: 성적 학과 수석 → 3,000,000원 (외 6단계)",adiga 외국인 2027 PDF,https://drive.google.com/file/d/1dx_ZE6ZUI7m49OXCcdDeaM7T5UiNR63G/view
외국인,2027,,건양대학교,Konyang University,충청남도,,5,,3485000,5439000,기업소프트웨어학부 (School of Enterprise Software) / ND산업디자인학부 (ND School of Industrial Design),,adiga 외국인 2027 PDF,https://drive.google.com/file/d/1kneoARyJn5CHIcMnFyRY7xfU5IMlgf1o/view
외국인,2027,,경남대학교,Kyungnam University,경상남도,5.5,3,Y,2903000,4102000,·관광항공서비스학전공 (Tourism and Airline Service Major) / 컴퓨터공학부 (School of Computer Engineering) / ·컴퓨터공학전공 (Computer Engineering Major) / ·소프트웨어전공 (Software Major) / ·컴퓨터보안전공 (Computer Security Major) / 인공지능학과 (Department of Artificial Intelligence),외국인 신·편입학 장학(B/C/D급): TOPIK 4급 이상 → 입학 해당학기 수업료 70% (외 4단계) / 외국인 유학생 신입생 기숙사비 지원: TOPIK 4급 이상 → 기숙사비 100% 2회 지원 (외 5단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1eO-a271nfJ6VPmhplpk8NKgiysWreBys/view
