가이드연도(검증),순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스학과,장학금,모집기간/비고
2027,2,연세대학교,Yonsei University,서울특별시,,5,,3809000,3809000,응용통계학과 (Department of Applied Statistics) / 산업공학과 (Department of Industrial Engineering),성적우수 장학금:  성적우수자→감면액 학교 기준 / 연구 참여 장학금(학부 연구생 프로그램):  학부 연구생 참여→학교 기준,"adiga 2027 외국인 PDF, 원서접수 2026.9.1~9.17"
2027,4,고려대학교,Korea University,서울특별시,,5,Y,3846000,3846000,통계학과 (Department of Statistics) / 산업경영공학부 (School of Industrial and Management Engineering) / 컴퓨터학과 (Department of Computer Science) / 데이터과학과 (Department of Data Science) / 인공지능학과 (Department of Artificial Intelligence),"Challenge장학금(C): other 한국어센터 정규과정 6급 수료→수업료 500,000원 감면 (외 1단계)","adiga 2027 외국인 PDF, 원서접수 2026.8.3~"
2027,8,중앙대학교,Chung-Ang University,서울특별시,,4,Y,5320000,8468000,응용통계학과 (Department of Applied Statistics),외국인 장학금(1차 학기): TOPIK 6급 (또는 TOEFL iBT 91 / TOEIC 780 / IELTS 6.5 이상)→수업료 100% (외 1단계),"adiga 2027 외국인 PDF, 원서접수 2026.8.31~9.18"
2026,8,건국대학교,Konkuk University,서울특별시,5.5,3,Y,4636000,7133000,"컴퓨터소프트웨어학과 (Department of Computer Software) / AI디자인학과 (Department of AI Design) / ㆍAI디자인학과 (Department of AI Design) / ㆍ컴퓨터소프트웨어학과 (Department of Computer Software) / ㆍ국제대학컴퓨터소프트웨어학과 (Department of Computer Software, International College) / 컴퓨터공학부 (School of Computer Engineering) / 산업공학과 (Department of Industrial Engineering) / 응용통계학과 (Department of Applied Statistics)",우수외국인장학(신입) 첫 학기 장학금: TOPIK 3급→등록금의 30% (외 3단계) / 외국인 신입생 장학금: TOPIK 6→수업료 50% (외 3단계),"2026 전기 외국인특별전형 (실제 2026! 마스터 2027 오류), 원서접수 2025.9.4~9.11"
2026,8,동국대학교,Dongguk University,서울특별시,,3,Y,4476000,5842000,통계학과 (Department of Statistics) / 정보통신공학과 (Department of Information and Communication Engineering) / 산업시스템공학과 (Department of Industrial Systems Engineering) / 컴퓨터·AI학부 (School of Computer Science and AI) / 컴퓨터공학전공 (Computer Engineering Major) / 멀티미디어소프트웨어공학전공 (Major in Multimedia Software Engineering) / 인공지능전공 (Artificial Intelligence Major) / 데이터사이언스전공 (Data Science Major),어학우수장학: TOPIK 4→수업료의 30% (외 2단계),"2026학년도 학부 외국인 (실제 2026), 원서접수 2025.9.23~10.13"
2027,12,인하대학교,Inha University,인천광역시,5.5,3,Y,,,산업경영공학과 (Department of Industrial and Management Engineering) / 인공지능공학과 (Department of Artificial Intelligence Engineering) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 통계학과 (Department of Statistics),글로벌 1 장학금 - TOPIK 성적에 따른 지급 (신입학): TOPIK 4급→1학기 30% 장학금 (외 2단계) / 글로벌 1 장학금 - 영어성적에 따른 지급 (신입학): TOEFL IBT 115점 또는 IELTS 9점 이상→전액 장학금(4년)+월 생활보조 30만원+생활관비 (외 3단계),"adiga 2027 외국인 PDF, 원서접수 2026.9.30~"
2026,14,국민대학교,Kookmin University,서울특별시,5.5,5,Y,4322000,6411000,AI빅데이터융합경영학과 (Department of AI Big Data Convergence Management) / 지능형ICT융합전공 (Intelligent ICT Convergence Major) / 소프트웨어학부 (School of Software) / 인공지능학부 (School of Artificial Intelligence) / 공업디자인학과 (Department of Industrial Design) / AI디자인학과 (Department of AI Design) / 회화전공 (Painting Major),입학성적 우수 장학금: TOPIK 6→수업료 100% (외 11단계) / 신입생 TOPIK 우수 장학금: TOPIK 6급→수업료 70% (인문계열) (외 5단계),"2026학년도 1학기 부모학생 외국인 (실제 2026), 원서접수 2025.9.29~10.16"
2026,16,서울시립대학교,UOS University,서울특별시,,3,Y,2156000,3396000,"전자전기컴퓨터공학부 (School of Electronic, Electrical and Computer Engineering) / 컴퓨터과학부 (School of Computer Science) / 인공지능학과 (Department of Artificial Intelligence) / 통계학과 (Department of Statistics) / 산업디자인전공 (Industrial Design Major) / 첨단인공지능전공 (Advanced Artificial Intelligence Major)",학부 외국인장학금-전액장학금: 상위 30% 성적우수자 / 학부 외국인장학금-반액장학금: 전액 수혜자 외 상위 20% 성적우수자,"2026학년도 외국인전형 (실제 2026), 원서접수 2025.10.10~10.20"
2026,17,한국외국어대학교,Hankuk University of Foreign Studies,서울특별시,5.5,3,Y,4201000,5273000,태국학과 (Department of Thai Studies) / 튀르키예·아제르바이잔학과 (Department of Turkish and Azerbaijani Studies) / Language&AI융합학부 (School of Language & AI Convergence) / SocialScience&AI융합학부 (School of Social Science & AI Convergence) / 우크라이나학과 (Department of Ukrainian Studies) / 통계학과 (Department of Statistics) / 컴퓨터공학부 (School of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering),총장 장학:  →등록금 100% (첫학기) / 학장 장학:  →등록금 50% (첫학기),"2026학년도 외국인 특별전형 (실제 2026), 원서접수 2025.9.1~9.12"
2026,19,세종대학교,Sejong University,서울특별시,5.5,3,Y,4556000,6237000,수학통계학과 (Department of Mathematics and Statistics) / 전자정보통신공학과 (Department of Electronic and Information Communication Engineering) / AI융합전자공학과 (Department of AI Convergence Electronic Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 정보보호학과 (Department of Information Security) / 소프트웨어학과 (Department of Software) / AI로봇학과 (Department of AI Robots) / 인공지능데이터사이언스학과 (Department of Artificial Intelligence and Data Science),외국인 학생 장학제도(어학능력 장학): TOPIK 3급→수업료 30% (외 3단계),"2026학년도 외국인 신편입 (실제 2026), 원서접수 2025.9.8~9.19"
