순위,학교,영문명,지역,IELTS(요강확인),TOPIK,원서접수기간,데이터사이언스학과,등록금최소,등록금최대,비고
8,중앙대학교,Chung-Ang University,서울특별시,5.5 명시,3급(한국어트랙),2026.8.31~9.18,응용통계학과,5320000,8468000,요강: 'TOEFL iBT 60 또는 IELTS 5.5 이상'. 외국인 특별전형 2027 확정.
12,인하대학교,Inha University,인천광역시,5.5 명시,3급,2026.9.30~11.5,데이터사이언스학과 / 인공지능공학과 / 컴퓨터공학과 / 통계학과,,,"요강: 'IELTS 5.5 이상, TOEFL iBT 71'. 영어트랙(IBT, ISE). 데이터사이언스 전용학과."
20,숙명여자대학교,Sookmyung Women's University,서울특별시,5.5(일부전공),3급,1차 10.7~16 / 2차 11.6~20 / 3차 12.3~18,소프트웨어학부 / 데이터사이언스전공,,,여자대학. 2027 전기 3차 모집까지. 영어트랙 일부전공 IELTS 5.5.
25,가천대학교,Gachon University,경기도,5.5 명시,3급,2026.10.12~10.23,금융·빅데이터학부 / 컴퓨터공학과 / 응용통계학과,4173800,5665800,요강: 'IELTS 5.5점 이상'. 영어트랙. 빅데이터 전용학부 보유.
,경남대학교,Kyungnam University,경상남도,5.5 명시,3급,2026.10.26~11.20,컴퓨터공학부,2903000,4102000,요강: 'IELTS 5.5'. 영어트랙.
,경동대학교,Kyungdong University,강원도,5.5 명시,-,2026.9.7~9.11,컴퓨터공학과 / 소프트웨어융합보안학과,3364533,3364533,요강: 'IELTS 5.5'. 영어트랙.
,계명대학교,Keimyung University,대구광역시,5.5 명시,3급,2026.9.21~10.23,경영빅데이터학과 / 컴퓨터공학과 / 통계학과 / 산업공학과,3250000,4856000,요강: 'IELTS 5.5점 이상'. 일부전공(Adams College)은 5.0.
,단국대학교,Dankook University,경기도,5.5 명시,3급,1차 10.1~16 / 2차 12.2~18,통계데이터사이언스학과 / 소프트웨어학과 / 컴퓨터공학과,4230000,6799000,요강: 'TOEFL iBT 71 또는 IELTS 5.5 이상'. 데이터사이언스 전용학과.
,목원대학교,Mokwon University,대전광역시,5.5 명시,-,1차 9.16~10.7 / 2차 11.23~12.23,마케팅빅데이터학과,,,요강: 'TOEFL 530/IELTS 5.5/CEFR B2'. 영어트랙.
,배재대학교,Pai Chai University,대전광역시,5.5 명시,2급,2026.10.16~10.22,소프트웨어공학부,,,요강: 'TOEFL 530/IELTS 5.5/CEFR B2'.
,우송대학교,Woosong University,대전광역시,5.5 명시,3급,2026.7.16~,철도·IT 등 공학계열,,,요강: 'IELTS 5.5점 이상 또는 TOEFL iBT 59'. 영어트랙.
,을지대학교,Eulji University,대전광역시,5.5 명시,-,2026.9.7~9.11,빅데이터인공지능전공,,,요강: 'TOEFL iBT 59 또는 IELTS 5.5 이상'.
,인제대학교,Inje University,경상남도,5.5 명시,3급,2026.9.7~9.11,AI컴퓨터학과,,,요강: 'IELTS 5.5' 영어트랙. 졸업요건 TOPIK4/IELTS5.5.
,평택대학교,Pyeongtaek University,경기도,5.5 명시,2급,2025.11.10~12.19,데이터정보학과 / 융합소프트웨어학과 / 정보통신학과,3532000,4593000,"요강: 'TOEFL iBT 71/IELTS 5.5'. 단, PDF 내 2026 표기 혼재 — 2027 요강 발표 확인 필요."
,한서대학교,Hanseo University,충청남도,5.5 명시,3급,1학기 12.14~18 / 2학기 6.21~25,항공산업공학과 등 공학계열,,,요강: 'TOEFL iBT 59/IELTS 5.5'. 영어트랙.
