순위,학교,영문명,지역,IELTS(data),TOPIK(data),등록금최소,등록금최대,데이터사이언스학과,장학금,검증비고
2,연세대학교,Yonsei University,서울특별시,,5,3809000,3809000,응용통계학과 (Department of Applied Statistics) / 산업공학과 (Department of Industrial Engineering),성적우수 장학금:  성적우수자→감면액 학교 기준 / 연구 참여 장학금(학부 연구생 프로그램):  학부 연구생 참여→학교 기준,"TOPIK5 또는 영어트랙(IELTS), 2027 외국인, 원서 2026.9.1~9.17"
8,중앙대학교,Chung-Ang University,서울특별시,,4,5320000,8468000,응용통계학과 (Department of Applied Statistics),외국인 장학금(1차 학기): TOPIK 6급 (또는 TOEFL iBT 91 / TOEIC 780 / IELTS 6.5 이상)→수업료 100% (외 1단계),"IELTS 5.5/TOPIK3 명시, 2027 외국인, 원서 2026.8.31~9.18"
12,인하대학교,Inha University,인천광역시,5.5,3,,,산업경영공학과 (Department of Industrial and Management Engineering) / 인공지능공학과 (Department of Artificial Intelligence Engineering) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 통계학과 (Department of Statistics),글로벌 1 장학금 - TOPIK 성적에 따른 지급 (신입학): TOPIK 4급→1학기 30% 장학금 (외 2단계) / 글로벌 1 장학금 - 영어성적에 따른 지급 (신입학): TOEFL IBT 115점 또는 IELTS 9점 이상→전액 장학금(4년)+월 생활보조 30만원+생활관비 (외 3단계),"IELTS 5.5/TOPIK3, 영어트랙, 2027 외국인, 원서 2026.9.30~11.5"
20,숙명여자대학교,Sookmyung Women's University,서울특별시,5.5,3,,,소프트웨어학부 (School of Software) / 데이터사이언스전공 (Data Science Major),세계지역 핵심인재 장학금 (한국어트랙): TOPIK 6급→등록금 90% 감면 (외 3단계) / 세계지역 핵심인재 장학금 (영어트랙): IELTS 8.0 이상→등록금 70% 감면 (외 5단계),"TOPIK3 또는 영어트랙(일부전공 IELTS 5.5), 2027 외국인, 1차 10.7~16 / 2차 11.6~20 / 3차 12.3~18"
25,가천대학교,Gachon University,경기도,5.5,3,4173800,5665800,"컴퓨터공학과 (Department of Computer Engineering) / 금융·빅데이터학부 (School of Finance and Big Data) / 응용통계학과 (Department of Applied Statistics) / 산업공학전공 (Industrial Engineering Major) / 회화전공 (Painting Major) / 산업디자인전공 (Industrial Design Major) / 기계·스마트·산업공학부 (School of Mechanical, Smart, and Industrial Engineering) / 컴퓨터공학부 (School of Computer Engineering)",외국인장학금(입학장학금): TOPIK 6급→등록금 90% 감면 (외 10단계) / 외국인 장학금 (신입생 장학금): TOPIK 4~5→입학 후 첫 학기 등록금 100% 감면 (외 2단계),"IELTS 5.5, 영어트랙, 2027 외국인, 원서 2026.10.12~10.23"
,경남대학교,Kyungnam University,경상남도,5.5,3,2903000,4102000,·관광항공서비스학전공 (Tourism and Airline Service Major) / 컴퓨터공학부 (School of Computer Engineering) / ·컴퓨터공학전공 (Computer Engineering Major) / ·소프트웨어전공 (Software Major) / ·컴퓨터보안전공 (Computer Security Major) / 인공지능학과 (Department of Artificial Intelligence),외국인 신·편입학 장학(B/C/D급): TOPIK 4급 이상→입학 해당학기 수업료 70% (외 4단계) / 외국인 유학생 신입생 기숙사비 지원: TOPIK 4급 이상→기숙사비 100% 2회 지원 (외 5단계),"IELTS 5.5, 영어트랙, 2027 외국인, 원서 2026.10.26~11.20"
,경동대학교,Kyungdong University,강원도,5.5,3,3364533,3364533,컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어융합보안학과 (Department of Software Convergence and Security),글로벌 외국인유학생 장학금: TOPIK 4급→입학금 전액 면제 + 수업료 50% 감면 (외 2단계),"IELTS 5.5, 2027 외국인, 원서 2026.9.7~9.11"
,계명대학교,KMU University,대구광역시,5.0,3,3250000,4856000,산업공학과 (Department of Industrial Engineering) / 통계학과 (Department of Statistics) / 경영빅데이터학과 (Department of Management Big Data) / 컴퓨터공학과 (Department of Computer Engineering) / 게임소프트웨어학과 (Department of Game Software) / 모빌리티소프트웨어학과 (Department of Mobility Software),외국인 신·편입학생 장학: TOPIK 5급 이상→수업료 100% 감면 (외 2단계) / 외국인장학: TOPIK 3→수업료 30% (외국인장학 2) (외 6단계),"IELTS 5.5(일부전공 5.0), 2027 외국인, 원서 2026.9.21~10.23"
,단국대학교,Dankook University,경기도,5.5,3,4230000,6799000,소프트웨어학과 (Department of Software) / 컴퓨터공학과 (Department of Computer Engineering) / 통계데이터사이언스학과 (Department of Statistics and Data Science) / 동양화전공 (Major in Oriental Painting) / 서양화전공 (Western Painting Major),신·편입생 장학금(한국어트랙): TOPIK 6→수업료의 60%(4년)+생활관비 (외 2단계) / 신입생 장학금(영어트랙 공인영어성적): TOEFL iBT 71 이상→수업료 50% 면제(1학기) (외 7단계),"IELTS 5.5, 2027 외국인, 1차 10.1~16 / 2차 12.2~18"
,목원대학교,Mokwon University,대전광역시,5.5,3,,,마케팅빅데이터학과 (Department of Marketing and Big Data) / -한국화전공 (Korean Painting Major) / -서양화전공 (Western Painting Major) / 산업디자인학과 (Department of Industrial Design) / -컴퓨터공학전공 (Computer Engineering Major) / -AI실감콘텐츠전공 (AI Immersive Content Major) / -사이버보안전공 (Cybersecurity Major),입학장학금(B): TOPIK 3급 이상(예·체능 2급)→등록금 20% 감면 (외 2단계) / 입학장학금(B): TOPIK 3급 이상(예·체능 2급)→등록금 20% 감면 (외 2단계),"IELTS 5.5, 영어트랙, 2027 외국인, 1차 9.16~10.7 / 2차 11.23~12.23"
